名稱,分類,上映日期,劇情介紹
心花怒放,喜劇,2001-05-19,珍(艾許利賈德飾演）是一名獨立自主、時髦聰穎的紐約客，她在一個熱門脫口秀節目擔任幕後執行製作人員，她想成為事業女強人，同時也渴求美滿的愛情，當瀟灑迷人的新主管雷(葛瑞基尼爾飾演）出現在她眼前時，她知道白馬王子出現了，而雷也迅速愛上珍，這段戀情就如乾柴遇到烈火般迅速引爆，不幸的是，也燃燒的快。就在雷開口將「我愛你」三個字說出口，甚至邀請珍與他共築愛巢，讓珍以為自己是全世界最幸福的女人時，雷突然對這段進展順利的感情卻步，於是，雷又說了「分手吧」這三個字，頓時珍陷入世界末日。失去感情的珍也失去房子，原本以為要搬去跟雷同住，故將自己的公寓退租，這下可好了，她無家可歸，好在同事艾迪(休傑克曼飾演）願意與珍分享他的公寓。艾迪是珍最瞧不起的花花公子，可是在別無選擇的情況下，珍只好暫時與這位「種馬」共處同一屋簷下。心碎的珍仍無法理解為什麼雷甩了她，在男性雜誌擔任編緝的好友麗絲(梅莉莎托梅飾演）的鼓勵下，珍開始瘋狂研究雄性動物的求愛模式，因而發明一種「新牛理論」，就是公牛與母牛交配後，只會再找新母牛交配，絕對不會找曾交配過的母牛，而經常帶女人回家一夜情的室友艾迪，就成了「新牛理論」最有力的臨床實驗證明。珍同時用假名義以性學博士身份在男性雜誌發表性愛專欄，卻意外成了全國最受歡迎的專欄，媒體競相爭邀訪問這位神祕作家，包括珍負責的脫口秀主持人黛安(艾倫巴金飾演），也命令珍一定要找出這位神祕博士上節目，這一切只有珍自己心知肚明，而她也發覺自己愛上艾迪，因為他並非她所想像的那般「公牛」．．．珍有勇氣向世人公開自己就是性學博士的事實嗎？更重要的是，她能夠拋卻過去的創傷，坦然面對自己內心的聲音，與艾迪共譜新戀情嗎？一部結合【征服情海】、【愛在心裏口難開】等片動情原素的愛情浪漫喜劇！
幽靈人間,奇幻,2001-09-29,十五年前……一個滿頭大汗的大漢匆忙的在街上奔跑，大漢突然跌出電車路上，被一輛貨車撞到身首異處。無頭人竟霍然彈起，發足狂奔跑了好一段方才倒下。一個小女孩目瞪口呆的望著電車底，見該人頭顱卡在電車底，雙眼仍然睜大，臉部仍帶著喜悅的笑容…十五年後，髮型師Peter偶然遇上神秘而感性的June，二人並迅即發生關係。Peter對這個古古怪怪，自稱有單邊陰陽眼，看得見鬼神的女孩子產生莫名好感，並企圖認真發展二人關係。但奇怪的事卻接二連三出現。首先是Peter在長洲和June目睹一隻女鬼上了June的朋友身；然後是Peter的父親盧杰於風雨夜突然從老人院偷走出來，告訴Peter其實他並不是老人痴呆，而是被鬼纏身；繼而在Peter幫助一個小孩，替其母驅走纏身厲鬼之後，才發現原來該小孩已死。令到對鬼神半信半疑的Peter一再和靈界接觸，產生混亂。最令Peter疑惑的是其父突然自殺死後，老人院黃姑娘告訴Peter在其父死前，June竟曾和盧杰相互對望良久而不發一言。Peter追問June原因，June卻支吾以對。Peter企圖跟蹤June，竟發現June神神秘秘地走入元朗，和一個身穿道袍的人相會，並迅即被一群大漢毆傷，令Peter漸漸對所謂鬼神之事愈來愈討厭。不料June此刻竟告訴Peter那隻最近經常出現的無頭鬼，其實是衝著Peter而來。Peter益加覺得June胡言亂語，決意和June分開。直至某日醒來，Peter發現自己竟睡在西環電車路上，不時夢見父親無頭的Peter深知不妙。當發現十五年前西環無頭人事件，June當天竟在場時，Peter隱隱覺得這一切必定和June又莫大關連。就在Peter堅信一切事件其實和June有關時，突然離奇墮樓受傷的老友Simon卻告訴Peter有問題的似乎是他自己，因為Peter竟然渾渾噩噩的把房子漆上紅油，更把Simon推下樓。Peter思緒混亂，決意找June弄個明白。原來無頭鬼真的衝著Peter而來，因為當年是盧杰害死他的。無頭鬼並不打算放過Peter，誓要置Peter於死地……
小鬼大間諜,動作,2001-06-15,柯特茲一家四口樂融融，爸爸奎格利和媽媽英格麗鶼鰈情深，女兒卡門和兒子裘尼最愛互相吐槽。媽媽愛說「間諜情深」的床邊故事給兩個寶貝蛋聽；傳說有兩位技藝高強的間諜奉命痛宰對方，沒想到見了面電光火石一觸即發，兩人比武不成反倒攜手落跑，相親相愛共組小家庭，才發現：為人父母比當間諜困難一百倍！這天「紅色警戒」突然大響，菲力斯叔叔出面真相大揭露，「間諜情深」原來是爸媽甜蜜初戀故事，兩人本是OSS組織王牌間諜，退隱多年後重現江湖，卻和七名間諜同遭暗黑破壞王劫持。暗黑破壞王是個科技怪胎，白天主持電視兒童秀，骨子裡算計著統治地球的大陰謀，專抓聰明絕頂的間諜生化改造成「怪臉福葛力」。爸媽生命危在旦夕，組織人手青黃不接，卡門和裘尼是這場災難的唯一救星！現成的間諜裝備酷炫登場，飛天背包水陸跑車超級潛水艇上山下海都不成問題，就等兩個小鬼一闖暗黑城堡搶救老爸老媽！
美國甜心,喜劇,2001-09-29,好萊塢大明星葛薇(凱薩琳麗塔瓊斯飾）的妹妹兼助理琦琦(茱莉亞蘿勃茲飾）是位個性善良的女孩，凡事任勞任怨，任憑驕縱的明星姐姐使喚。葛薇和艾迪(約翰庫薩克飾）都是好萊塢的大明星，倆人合作的電影部部暢銷，是一對人人稱羡的銀色夫妻，但是葛薇卻在拍攝另一齣新片時和合作的西班牙男演員漢克斯(漢克阿撒利亞飾）傳出婚外情。為了不影響葛薇和艾迪最新合演新片的票房，琦琦和資深的媒體公關李(比利克里斯多飾），只好費盡心思塑造倆人恩愛幸福的假象。在謊言的包裝下，葛薇和艾迪在人前表現出相親相愛的一面，人後卻吵翻天。琦琦努力撮合姐姐和姐夫的婚姻時，卻發現她早已愛上了姐夫艾迪，在愛情和形象、票房的壓力下，他們該如何作出抉擇呢？
劍魚,動作,2001-09-21,史丹利(休傑克曼飾)是全世界最頂尖的電腦駭客，他曾經以其過人的電腦知識與技術，入侵並癱瘓聯邦調查局嚴密的監控系統，結果史丹利不但被判入獄服刑，假釋出獄後，政府更不允許他接近任何電腦周邊產品，連離婚之後女兒荷莉的監護權都歸給女方，幾乎失去謀生能力的他，這下連活下去的勇氣都沒有了。「只要你跟我合作，不僅僅會有一大筆錢，你還可以跟你女兒在一起過你們想要的日子。」神秘人物蓋布洛(約翰屈伏塔飾)派遣他美麗的屬下金姬(荷兒貝莉飾)，邀請他加入一個神秘的組織，只要史丹利能為他們成功地入侵聯邦政府嚴密保護下的虛擬世界─「劍魚」，他就可以得到一大筆錢跟他的女兒一起離開這個充滿是非的地方。原來蓋布洛是一名激進且極右派的情報員，他獨創一套以暴制暴的愛國主義，儘管不為世人認同，他依然堅持自己的立場。他需要一筆錢，一筆大到能夠建構他組織的鉅款，他很清楚在網路虛擬的世界裡，有一個代號為「劍魚」的虛擬世界，聯邦政府在裡面暗藏著巨額的黑金與不為人知的犯罪紀錄，只要有人能夠幫他突破「劍魚」這個世界，這筆黑金就可以轉進他的組織，幫助他壯大組織，實現他以暴制暴的愛國思想。另一方面，聯邦調查局也在積極防堵蓋布洛的瘋狂行動，派出多名高級幹員準備緝捕蓋布洛與史丹利，同時，另外一批想要阻止蓋布洛擴張野心的殺手也密集部署隨時準備刺殺蓋布洛與史丹利。儘管史丹利企圖逃離組織，女兒荷莉卻被牢牢地控制在蓋布洛的手中，逼得他不得不乖乖就範。這一樁高科技的網路搶案，就在史丹利排除重重的困難與障礙，進入「劍魚」世界的同時，他才赫然驚覺這一切原來並不如表面上看起來那麼簡單，他只是一整個複雜陰謀中的一個小棋子，而這整個計劃絕不單單只是為了掠奪金錢，蓋布洛真正的目的是什麼？
天蛾人,科幻,2002-04-12,"一個曾經受眾人敬重，風雲整個華盛頓洲的政治新聞記者-約翰肯林，無助的站在他年輕的妻子-瑪麗身旁，看著他從腦瘤的病痛中突然離去。約翰一直無法接受妻子過世的事實!悲劇發生後一年了，他仍然陷入痛苦中，常常到維吉尼雅鄉間的酒吧尋求慰藉。在一個令人毛骨悚然的暴風雨中，開往回家的路上，一個令人無法相信的事發生了，約翰發現自己竟然不知不覺得在30分鐘內走了400公里，來到了一個位於維吉尼雅西部名叫PointPleasant的城市。PointPleasant是一個溫馨充滿人情味的小鎮，不過最近卻被許多奇怪的現象所籠罩。住在這兒的居民紛紛傳出遇到可怕及令人恐怖的經驗，有人被恐怖的惡夢纏身、有人則曾聽到陰森恐怖的聲音中夾帶著威脅的預言從電話中傳出、又或者有詭異的影像突然出現在電視螢幕前。總總的傳說不禁令約翰感到懷疑，但卻又引起他極大的興趣及好奇。就在他參加了小鎮一個大型夜間聚會，眾人抬頭觀看幾天以來同一時間都會閃過天際的一道熾熱光束後，他逐漸開始相信了傳說。當約翰親眼目睹自己的預見能力，在一個恐怖的世界災難中發生後，他被所發生的事給困惑住了，他簡直無法相信自己親眼所見的一切。而且當他發現在這小鎮中有許多人都曾經看到過一隻有著巨大翅膀會飛的紅眼怪獸幻影時，他突然想起，村民們所看到的恐怖幻影竟然和瑪麗在死前看到的一樣。他相信這件事一定和他太太的死有關，只要是他還尚存一息時，就會把自己所有精力消耗在與他太太的死有關的傳說中。一日他無意間遇見了當地熱心助人的警察，名叫康妮派克，兩人立刻被對方所吸引，約翰對康妮有著無法自拔著迷戀。約翰循著蹤跡找到了在紐約市當地一位非常著名、有聲望的玄學家，他把【天娥人】的傳說詳細的都告訴了約翰。天蛾人是一個會神秘預言的巨大飛行動物，它是一個超自然的生物，在它出現之前就有著許多不幸的傳說。有人說，看到天蛾人就等於看到一個人死亡的宣判。到到目前為止；約翰確信己有超過30個人以上，曾看到過這個""長得像鳥""的人，這其中也包括了康妮。他相信他來到這個pointpleasant的小鎮，並非是個意外，而且恐怖的是他感覺那種無能為力去制止悲劇發生的情形又將再度發生。一段不可知的未來正等著他…。"
梅爾吉勃遜-勇士們,動作,2002-03-22,1965年在越戰中，第一場美軍與越共最慘烈的戰役。四百名美國大兵，第一次利用美國首創的直昇機空中機動任務，空降至德浪河谷的敵軍陣營之中，發現他們被2000名敵軍包圍，第七騎兵隊第一營營長穆哈爾(梅爾吉勃遜飾）帶領著他的弟兄面對這場充滿劣勢的戰爭，在那裡，他們以生命中最漫長的一個月堅守陣營，只為了堅持到最後一刻、最後一人、最後一顆子彈，而穆哈爾堅信在這次戰役中，他將是第一個踏上敵陣，也是最後一個離開的人，而且每一個人都要活著回來！他們為人父、為人夫、為人子也為人弟兄，戰火線上他們視死如歸，他們是一家人，也是同袍手足，他們只有彼此照應才有存活的希望。
K星異客,科幻,2002-03-30,一名個性溫和的流浪漢普洛特在紐約中央車站目擊一場搶案後被警方逮捕，他在警局跟警察說他來自一個叫作Ｋ－ＰＡＸ的遙遠星球，於是他被送到精神病院，精神科醫師馬克包威則負責治療這名自稱是外星人的精神病患。見過各式各樣精神病病患的包醫師一開始把普洛特當成一般的案例，他自以為很快就能查出他的底細，但是事情沒他想像的那麼簡單。普洛特在治療過程中向包醫師描述地球和Ｋ－ＰＡＸ星球的不同，他說他很喜歡地球，但是暑假結束後，他就必須返回他的星球。雖然包醫師不怎麼相信他，但是他似乎擁有一股神奇的力量，讓病院裡的病患都能信任他，於是他得到每一個病患的信任與好感，而且他們都想要跟他一起回Ｋ－ＰＡＸ星球。儘管普洛特表面上看來溫文儒雅、彬彬有禮，但是包醫師卻相信他的內心深處一定受過重大創傷，他必須把他的傷痛挖掘出來，免得時間一到，他就會永遠陷入精神錯亂的狀態。但是在治療的過程中，包醫師開始對他一直深信的理念感到懷疑，而普洛特的所作所為也不禁讓他開始相信，也許普洛特真的是一個貨真價實的外星人。就在他探索普洛的內心世界的同時，他也必須反省自己的人生，並且發掘他真正的自我。
意外邊緣,劇情,2002-03-16,榮獲~金球獎最佳女主角，倫敦電影金像獎最佳導演，日舞影展最佳演員獎，美國電影協會最佳女主角獎，廣播影評人協會最佳女主角獎、金衛星最佳女主角獎，國家影評人協會最佳影片、最佳導演獎，紐約影評人協會最佳男主角、最佳女主角、最佳新進導演獎……麥特(湯姆威金森飾）和露絲(西西史派克飾）福勒夫婦是一對中年夫妻，他們居住在緬因州，感情融洽。麥特是鎮上的醫生，至於露絲則是鎮上高中唱詩班的教師。儘管教授的樂團即將舉行公演，但是露絲甚至她的丈夫麥特都無法專注，因為他們的兒子法蘭克(尼克史塔飾），愛上了一個他們眼中不該愛的女人…法蘭克是個敏感的年輕人，畢業在即的他，有意繼承祖父捕龍蝦的事業，然而整個夏天，他都沈浸在與娜塔莉史托(瑪麗莎托梅飾）的戀情裡。麥特對孩子一向比較放任，反而母親露絲比較專斷且愛發號施令，她認為娜塔莉不是理想的交往對象：她比法蘭克年長、教育程度不高，經濟狀況不佳，加上有兩個小孩，背景複雜；更重要的是，她和丈夫理察史托(威廉馬波德飾）尚未正式離婚，只是分居，而且她丈夫在鎮上來頭不小、陰魂不散，有嚴重暴力傾向，攻擊性強。終於，理察找到了娜塔莉，也找上福勒全家。直到他的出現，一切事件急轉直下，許多的回憶、創傷和衝突都被重新翻攪，也帶來難以彌補的毀滅…
忘了我是誰,奇幻,2002-03-16,彼特艾波頓(金凱瑞飾)是好萊塢一位剛入行的電影編劇，他的第一部作品【撒哈拉沙漠大盜】剛剛完成，受到全美觀眾矚目，正當他準備大展鴻圖時，一個調查美國境內反美活動委員會突然指控他曾經支持左派組織，要立刻傳喚他出庭作證，彼特不僅因此丟了前途，他的明星女友也離他而去，他在一夜之間變成了洪水猛獸，人人避之唯恐不及，彼特在失意之餘，驅車散心，卻意外地發生一場車禍，連人帶車落入急流的河水中，意識昏迷的彼特被河水遠遠地帶到一個平凡的小鎮─羅森，初來乍到的他，卻觸動當地居民平靜已久的心。羅森鎮的年輕人絕大多數在大戰中以身殉國，全鎮因此顯得死氣沉沉。頭部受到撞擊而喪失記憶的彼特被鎮裡的人救起，在經過簡單的醫療檢查之後，所有與彼特接觸的人都發覺他長得很面善，而彼特卻始終想不出自己是誰，「堂皇戲院」的老闆哈利春柏(馬丁藍道飾)，急急忙忙趕到醫院，在一陣仔細端詳之後，證實他就是他在戰爭中生死不明的兒子路克春柏。消息傳出，全鎮因此震動，整個鎮因為路克的平安歸來而呈現歡欣鼓舞的熱烈氣氛中，而年邁的哈利春柏更是欣喜若狂，重新燃起對生命的希望，原本他經營的「堂皇戲院」在愛妻過世，獨子失蹤的情況下，讓他無心工作，戲院變得老舊而殘破。另一個留下欣喜之淚的是鎮上醫生的女兒愛戴史丹頓，許多年以前，他們曾經是一對相愛至深的戀人。哈利在和愛子重逢以後，決定要讓堂皇戲院重新開幕，全鎮居民都為此歡欣鼓舞。從旁人的嘴裡，彼特發現路克是一個勇敢真誠、愛國愛家、敢於追求理想的人，尚未恢復記憶的彼特，以路克的身分在小鎮裡展開生活，被羅森鎮民的溫暖深深感動，他努力地與哈利一起修復戲院，隆重地開幕，為原本氣氛晦暗的小鎮增添歡樂的色彩。幾個禮拜後，堂皇戲院上映新的電影，正好是彼特艾波頓的編劇作品【撒哈拉沙漠大盜】，彼特反覆咀嚼電影中他所寫的台詞，剎那間恢復了記憶，他想起自己是彼特艾波頓，不是大家心目中的路克，就在彼特陷入進退兩難之際，反美活動委員會調查員追蹤到羅森小鎮，要求彼特立刻出庭。愛國的小鎮居民發現彼特曾經支持左派活動，立刻與他劃清界線，讓彼特再度陷入眾叛親離的情況中。面對急欲將彼特治罪的法庭，已經一無所有的他該如何處理這樣不合理的指控？羅森小鎮的居民還願不願意支持他這位熟悉的陌生人？
開膛手,犯罪,2002-03-08,開膛手』改編自暢銷的驚悚小說，書中大量且細膩地描寫了開膛手傑克糾結難理的複雜心理樣態，鉅細靡遺地回溯他的連續殺人案例，以及當時整個英國塵囂甚上的各種說法和未被證實的裴短流長：1888年的霧都倫敦，一個自稱『開膛手傑克』的男子，在十個禮拜之內，連續犯下五樁慘絕人寰、帶著詭譎儀式的殺人命案，巿民莫不陷入恐慌，整個城巿瀰漫著駭人聽聞的猜測和流。巧合的是，這幾名受害者都是彼此熟識的窮困妓女。這些妓女靠著身體賺取微薄收入來勉強為生，忍受著社會的羞辱和歧視，如今還要面對著一個惡魔，伺機要奪走唯一擁有的東西--生命。而願意伸出援手的，只有警探佛瑞德亞伯萊（強尼戴普飾演）。其中一名仍然活命的妓女瑪麗凱利（海瑟葛拉罕飾演），不相信上流社會人士會真心幫助她們，因此不願意積極協助佛瑞德辦案。佛瑞德在重重阻礙當中，發現上級刻意將這個案子壓下來，甚至消滅犯罪證據，唯一的例外是一名皇室的御用醫生威廉高爵士（伊恩何姆飾演），他認同佛瑞德的看法，確信兇手絕對不是一般的屠夫或暴徒，而一個了解外科醫學的知識份子。在威廉高爵士的協助之下，佛瑞德發現『開膛手』可能不是一個人，而是與一群貴族私生活有關連的行動，而此刻，妓女瑪麗凱利也命在旦夕，因為她正是『開膛手』名單上最後一個名字．．．　在『開膛手』事件之前，全倫敦只有百餘家報社；因為『開膛手』的出現，一夕之間，倫敦多了上千家報紙爭相報導。』換句話說，開膛手傑克在報業演進史上佔有了一席之地，同時也是第一位被小報拱出來的明星人物。真實世界中，開膛手未曾被逮捕到案，關於他的一切，直到今天，依舊是一團謎。
真情快遞,劇情,2002-03-16,你大概不會想認識奎爾這個傢伙，他是那種和你撞肩而過，你也絲毫不想回過頭去再看一眼的凡夫；你不會想知道這個溫吞無趣的男人，在他的生命中曾經發生過那些事；如果有本小說或有部電影，拿這傢伙當做故事的男主角，你或許可以猜想，那會是多麼無聊、恐怖的災難．．．但，事實可能和你所想的完全相反。奎爾（凱文史貝西飾），不只平凡，還很窩囊。他邋遢、不修邊幅、生活乏味、生平無大志，住在紐約灰暗的北郊，是報社裡缺人手時才聘用的三流記者，更慘的是，他娶了一個完全不適合他的老婆，蓓妲（凱特布蘭琪飾）。蓓妲是個愛招搖、好社交的花蝴蝶，剛開始，她以為在奎爾身上找到了自己殘缺的那一面，因而愛上他，甚而結婚生了一個女兒邦妮。但沒過多久，她野性放浪的一面又禁不起誘惑，爆發出來。悲哀的奎爾依然蠢蠢地迷戀著他不該愛的蓓妲，縱容她天天在外尋歡作樂，直到她帶男人回家．．．蓓妲在一場車禍中意外地死了，就在她帶著女兒離家出走後不久。奎爾救出了險落狼爪的女兒邦妮，在哀慟與孤寂中努力想回到原本平靜的生活。葬禮上，他見到了從未謀面的姑姑艾格妮絲（茱蒂丹契飾），這個滿面風霜又堅強幹練的老太太，她說服早已心死的奎爾，帶著女兒和她一起回祖先的家鄉：殺舔爪漁村，重新尋回生命中遺失的那一塊拼圖。殺舔爪，一個冰雪靄靄的化外之地，住著一群在困境中求生存的怪異鄉下人。奎爾一家人就住在面對海洋的岬角上，一棟破爛得幾乎擋不住冰雪狂風的小木屋，那是祖先留下的遺產；他在一家名叫「社交鳥」GammyBird的當地小報社裡，找到一個採訪撰寫「漁業新聞」的工作，與當地的居民有了互動；此外，他還意外地與一個獨自扶養智障兒子的神秘少婦薇蜜（茱莉安摩爾飾）發生戀情．．．對他來說，這是個處處存在著奇特難解謎團的地方。而在為報社寫文章的同時，奎爾開始一點一點深入這個小漁村的內在世界，無形中，也探掘出自己塵封冰凍已久的心靈。在紐芬蘭，這個處處是美景，也處處都是困境的海角天堂，奎爾看見一個新世界，不堪回首的往日在這裡漸漸熔化，消散在他嶄新開闊的生命之中。
間接傷害,動作,2002-03-02,為了殺害中南美洲軍事顧問團與美國情報局官員，來自中南美洲的恐怖份子不惜在洛杉磯市中心發動恐怖爆破行動。這次爆破行動威力強大，炸燬了洛杉磯市中心的一棟建築，這個行動不僅釀成了相關政府人員的嚴重傷亡，同時也造成許多無辜的市民死傷，其中消防隊員布洛的妻子與年幼的稚子也在這場爆炸中意外身亡。與家人約在這棟大樓見面的布洛，因為遲到而目睹整個令人驚心動魄的爆炸過程，面對自己的家人身陷火海卻無力挽救，布洛身心備受折磨，卻還要被迫接受妻兒的死是「間接傷害」的官方說法，面對政府懲治匪徒的無力，這段血海深仇可能將永遠無法得報，布洛心中燃起了滿腔的怒火。透過美國情報局，布洛終於知道這一起爆炸案是由一名哥國反政府軍領袖「野狼」所主導策劃，「野狼」生性殘忍、惡名昭彰，領導叛軍與政府軍作長達十多年的內戰，就連哥國政府也拿他沒有辦法，更何況是沒有引渡條約的美國政府。經過幾個星期的奔走之後，布洛發現美國社會已經開始忘記了這個恐怖事件，政府單位更是準備將這段奪去布洛一切的歷史淡化處理。親仇不報，布洛心中的憤恨難消，儘管聯邦調查局與中情局都警告布洛不許輕舉妄動，但是布洛仍決定親手將嫌犯捉捕到案。獨自踏上哥倫比亞的布洛，他才發現情況的艱難與險惡遠遠超出他的想像，在這個陌生國度裡，他連基本的溝通都成問題，卻必須一個人面對大群武裝叛軍的追殺與全然不熟悉的陌生環境，然而一心只想復仇的布洛已經顧不了這麼許多，荷槍實彈的敵人也已經佈下天羅地網要捕捉他，身陷重重危機的布洛，要如何在陌生的環境裡躲過眾多叛軍的追擊，緝拿兇手為自己的親人報仇？唯一能夠確定的是：已經一無所有的他，這次是完全豁出去了。
美麗境界,劇情,2002-03-09,約翰奈許於１９４７年進入普林斯頓大學數學系研究所就讀，對普林斯頓大學來說，這名絕頂聰明但是個性偏激的傑出青年卻成為一名問題學生。他不但和同學無法相處，而且還時常曠課，他心中只有一個念頭：發明出一個原創理論。他深信這是成功的唯一方法。雖然他的同儕都希望看到他失敗，但是卻在無意間激發出他的鬥志，有一天他們在酒吧閒聊，看到一名身材火辣的金髮美女，於是慫恿奈許去追她，但是這卻激發了他的靈感，促使他發現一個突破性的理論，後來他所寫的論文推翻了現代經濟學之父亞當史密斯一百五十年來牢不可破的經濟理論，從此改變了他的一生。奈許以這篇論文得到在麻省理工學院的研究計畫和教職，當時世界正值冷戰時期，而他也希望能對美國有所貢獻，這時突然出現一名情治人員威廉帕奇，請他參與一項機密的解碼任務。他抓住機會全力投入這項任務，同時也在校內認識一位美麗的女學生愛莉莎賴德，這位傑出的研究生讓奈許接觸到一個他從來沒認真考慮過的概念，那就是愛情。他們的感情進展神速，很快就決定結婚，但是奈許的機密任務也變得越來越危險，他完全沉迷在一個妄想的世界，他異常的行為舉止終於被診斷為妄想性的精神分裂症。從這時開始他就開始了和精神病的長期抗爭，而他的妻子愛莉莎雖然飽受她丈夫異常行為的折磨，但是卻仍然守在他身邊，以她的愛包容他的瘋狂行徑，經過多年的奮鬥後，雖然他仍有不正常的幻覺，但是奈許卻能接受自己的精神異常，重返普林斯頓大學教書，並且於１９９４年獲得諾貝爾獎，而他的理論則成為二十世紀最有影響力的理論之一，証明了他不只是擁有一個絕頂聰明的腦袋，同時還擁有一個美麗的心靈。
黑鷹計畫,戰爭,2002-02-23,"本片是根據真實的戰爭改編而成的，還原1993年索馬利亞戰事，此事是柯林頓在美國總統任期外交史上最挫敗的一次，是繼越戰之後最慘重的火拼。1993年，一組受過專業訓練近百人的美軍突擊隊，在非洲執行一項人道救援任務時，因誤判情報，兩架黑鷹直昇機被敵軍擊落迫降至索馬利亞，秘密任務衍生成戰爭事件。數量不到百人的美軍突擊隊必須對抗5,000名以上索馬利亞暴民的猛烈攻擊，在雙方人數和火力相差50倍的緊張情勢下，兩方展開一場無可避免的戰役。雙方激戰十五小時，堆積如山的彈殼灑落在索馬利亞首都摩加迪休的戰場上，當時戰況相當慘烈。美軍增員前往救援，並堅持「無論生死，所有弟兄都要回來，決不放棄任何一個同袍」。"
強殖入侵,動作,2002-02-22,西元2079年，地球陷入星際戰役已達十年，軍事科學家史班塞致力研究外星武器，抵禦異形惡霸，眼看成果呼之欲出，卻天外飛來一宗誣告，指控他是外星間諜！於是，飽受愛戴的人類救星，情勢大逆轉淪為全民公敵，他該如何洗刷冤屈，及時搶救地球？從虛擬想像到實境操練，變幻莫測的複製人未來，到底誰是本尊誰是分身？【強殖入侵】改編自科幻小說家－菲利浦狄克PhilipK.Dick寫於1952年的同名短篇小說。狄克生在半世紀之前，未來想像視野卻無限寬廣，【銀翼殺手】、【魔鬼總動員】都出自他的創意，史蒂芬史匹柏新作、湯姆克魯斯主演的【一線生機】亦出自他手。他用轉折吊詭的文字織就科技未來，主題不外乎為身分認同、自我定位、以及衍生的偏執妄想。何謂現實的本質？人類何以為人類？科技對人性及身分認同造成什麼影響？生命的意義為何？從現在到未來，狄克作品成為科幻讀者一致崇拜的經典。【導演的話]蓋瑞佛萊德GaryFleder：最令人驚心動魄的控訴，莫過於為自己的莫須有罪名背黑鍋！你該如何證明自己的身分？如何洗刷他人對你的指控？背黑鍋的通緝犯經典電影處處有，而【強殖入侵】更進一步探索未來，暗中作祟的也許非人類，2049年，複製人正流行，史班塞如何以本尊之身、擊垮惡霸橫行的分身？我希望觀眾能體驗和劇中角色相同的疑慮，在人性的基礎上展開一場雲霄飛車式的探索，並尋求自我純真的信念；信與不信，正是電影最值得玩味之處。片中呈現的未來，複製人及記憶操控技術均已成熟，進而衍生更多疑惑：如果人類科技足以改變現實的基本元素，那麼何謂現實？何以界定？
情人眼裡出西施,劇情,2002-02-22,綜觀古今中外，幾乎沒有任何其他事物比得上『美』的真義一樣，長久被傳頌謳歌不已。多少哲人、詩人、科學家和神學家的靈光一現，都是被被各種『美』的表現形式激發；終其一生思考著『美』所醞釀的深刻奧秘。有人從大自然的奇觀找到心目中的『美』，有人則為簡單的一個謎樣笑容神魂顛倒，有人甚至踏遍天涯海角直到世界盡頭，只為了找到心目中最美麗的事物。那對霍爾(傑克布萊克　飾演)來說呢，這個膚淺到極點的傢伙，能讓他稱之為『美』的，只有長得像超級名模的女人。他看女人第一，也是唯一，的評斷標準就是『外表』。但是一次意外催眠，讓霍爾對女人的觀點有了180度的大轉變！在催眠的效果下，他眼中只能看到人們的內在美。這時，出現了蘿絲瑪麗（葛妮絲派特羅飾演），一名體重超過100多公斤的年輕胖妹；蘿絲瑪麗的善良和幽默風趣，映入被催眠的霍爾眼中，讓她變成一名絕世美女。於是，一段浪漫又刻骨銘心的戀情就此展開，旁人都不解向來以貌取人的霍爾，為什麼會瘋狂愛上這樣一名女子，難道正因為她恰巧是他頂頭上上上司的女兒嗎？當咒語解除的那一刻，霍爾能夠繼續愛著眼前判若兩人的『真實』蘿絲瑪麗嗎...
瞞天過海,動作,2002-02-09,華燈初上的賭城拉斯維加斯，即將舉行人類史上最高金額一億五千萬美元的拳擊賽事，全場數以萬計熱情觀眾沸騰的情緒交雜著聲嘶力竭的喊叫聲，頓時把場內的氣氛炒到最高點，擂台上兩位重量級拳擊手，正仔細地打量著對手，準備在即將展開的這場賽事中，一舉擊倒對手，奪取世界拳王寶座與最高額的獎金。想要奪取這筆巨額獎金的並不只台上的兩個人，至少還有另外一批人也正虎視眈眈地打著這一億五千萬美元的主意，他們是一群以丹尼歐遜(喬治克隆尼飾)、王牌拉斯堤(布萊德彼特飾)、扒手天王與爆破專家等十一位好手共同組成的菁英份子，個個身懷絕技，他們計劃以瞞天過海的方式，躲避賭場內數以百計的監視攝影機，穿越過無數的紅外線偵測器，再神不知鬼不覺地閃過一批全副武裝的安全人員後，炸開數噸重的保險金庫大門，那一億五千萬美元的酬勞就如同探囊取物一般容易。只不過瞭解內幕的人知道他們除了要應付層層的保全系統外，還要面對賭城最冷血、最具勢力的黑道老大泰瑞班迪克(安迪賈西亞飾)，無不認為他們是在與虎謀皮，自掘墳墓。沒錯，丹尼歐遜就是這樣一個向極限挑戰的狠角色，他在出獄的二十四小時內就積極物色適合這項任務的人選，他相信有了這群身手矯健的好手，儘管一億五千萬美元是深埋在地下，擁有層層的保護，對他們來說仍舊是就如同探囊取物一般，然而卻在此時拉斯堤意外地發現丹尼的前妻泰絲(茱莉亞蘿勃茲飾)正與黑道大哥泰瑞打得火熱，這是巧合？是天意？是丹尼報復的動機？抑或是這次計劃的一部份？他們可能成功地奪取一億五千萬美元、安然而退抱得美人歸嗎？
