名稱,分類,上映日期,劇情介紹
晚孃,劇情,2001-11-03,"""真""一出生，他的母親""Dara""便與世長辭。有人說，他的一生從此受到詛咒。由這時候開始，""Dara""的丈夫老爺非常憎恨這個嬰孩，因此把他叫作""真""(亦即泰語被詛咒的意思）。正因如此，老爺一直視他為敵，不停虐待他、打他，更因他抖膽哀悼其母而把他鎖進「鬼房間」內。不過，老爺對""真""的仇恨，跟他在「Visanan莊園」內的荒淫無度卻毫無關係。""真""最早的童年回憶，是目睹老爺在他亡妻的肖像前跟女佣打得火熱。事實上，老爺是個無法控制情慾的人，也不顧得家中有誰知道。當""Dara""的好友華姨由Pijit來充當孩子的代母時，老爺急不及待又把她納入其戰利品之列。不久，華姨替老爺誕下女兒""喬""。老爺很寵愛她，並教她跟他同樣地憎恨""真""。換言之，""真""在極惡劣的環境下成長，亡母的慈容與嚴父的肆虐，使他對是非黑白混淆不清。""真""17歲那年被逐出「Visanan莊園」，自此命運開始改變。當時，老爺的舊情人晚孃(鍾麗緹飾演)與他們同住，並樂意把「愛的教育」傳授給""真""。不過老爺卻突然誣告""真""強姦了""喬""，並把沉重的茶杯向他迎面擲去，在他前額上留下永不磨滅的疤痕。""真""知道誰是真兇，但沒有直言。他悄悄地離開家園，心情如釋重負。三年後，""真""被召回家，他決定利用這個機會向老爺復仇。原來""喬""懷孕，是誰播的種卻無人敢說，而她卻急需一個丈夫。老爺選中""真""，因為他是「Visanan莊園」的另一男性繼承人。""真""答應娶""喬""為妻，但卻趁機開索天價：「他要成為Visanan的主人。」老爺奇怪地答應他，並簽署物業轉讓的文件。成為大屋的主人後，""真""開始玩弄他身邊幾位女性的感情，甚至肉體，跟老爺從前的行為不遑多讓。究竟這個年青人終於向老爺報了仇？又還是他其實活在與生俱來的詛咒中？"
人間有情天,劇情,2001-11-17,(2001年坎城影展最佳影片金棕櫚獎)心理醫師喬凡尼一家四口，居住在義大利北部美麗的濱海城市，他和妻子寶拉，以及一對正值青春年華的兒女，長女愛琳和愛子安德烈，家庭生活和樂融融、溫馨甜蜜。每天，喬凡尼的病人在諮詢室裡向他傾吐各式光怪陸離的病情，對比他們強烈的狂想偏執，喬凡尼更能感受到平安喜樂的幸福。然而，某個星期天的早晨，喬凡尼意外接獲噩耗，原來兒子安德烈在和朋友潛水時驚傳惡耗。他永遠不會回來，而喬凡尼承諾和他一起晨跑的約定，也永遠無法實現。失去安德烈後，喬凡尼一家幾乎無法從打擊中復原，成員哀痛至極。此時，他們收到一封神祕女孩寫給安德烈的信，為原先死氣沉沉的家庭重新帶來生機…
美國派2,喜劇,2001-11-10,1999年暑假，全球影迷都愛上【美國派】一片中那群可愛搞笑的高中生，也陪著他們探索愛情、性和友情的真諦，這部青春爆笑喜劇不但締造驚人的票房成績，也反映了許多青少年的心聲，他們對片中男主角為了初嘗禁果做出的各種糗事都發出會心一笑。今年環球影業找來原班人馬，推出令人期待的【美國派２】，這一次這些高中生都邁入成人世界，片中的男生在當了大學新鮮人的第一年暑假一起租了間海灘小屋，除了紀念他們堅固的友情之外，也要過一個最狂野的暑假，但是跟第一集一樣，他們的美夢能不能成真，最後還是要看女生的反應。經過了夜夜笙歌的狂歡和不可避免的糗事之後，這群年輕人發現雖然人事物都會變遷，但是只有友情是永遠不變的。
我和吸血鬼有份合約,劇情,2001-11-24,1921年默片時期，德國最重要的導演F.W.穆瑙，決定不顧【德古拉】Dracula原作者史托克遺孀的反對，執意將該部小說改編上大銀幕，而為了避免版權上的困擾，穆瑙因此將這部新片的片名改為－《吸血鬼》Nosferatu。這位當時最有才華也最具膽識的大導演穆瑙，決定捨棄二○年代德國電影界以片廠搭景的拍攝方式，在完成了開場女主角葛莉塔的片段後，便帶著攝影師、製片人、編劇與男主角等大批人員與器材，遠赴捷克出外景，並與飾演吸血鬼歐洛伯爵的另一位男演員在當地會合。沒有人知道這位扮演歐洛伯爵的麥斯許瑞克到底是誰？只彷彿聽說這名演員是穆瑙從劇場界中發掘出來，而且是個極端服膺大師史坦斯拉汶斯基「方法表演」的表演藝術家，他老早就已住進了捷克的古城堡中，遵循著吸血鬼的方式生活，從思想到形態外貌，都務求能宛如一隻不折不扣的吸血鬼。因此，他也只能在夜間參與拍攝工作。麥斯許瑞克的第一場迎賓戲，在荒涼的古堡外開拍，初次見到他，所有的人都不禁瞠目結舌，那形容枯槁、眼眶深凹、牙齒暴凸、肩聳背彎尖耳的模樣，真實的程度遠超過他們所能想像，而那彷彿洞悉一切卻又帶點畏縮的陰沉眼神、那細瘦尖長的手指與長指甲、那猥瑣又具有侵略性的體型姿態，更讓見到他的人都忍不住打起寒顫來。當晚，攝影師莫名其妙的就病倒了………。第二天，勉強地又拍了一場古堡內簽約的戲後，攝影師詭異的幾乎喪命。穆瑙憂心又氣憤地回到柏林另覓攝影師。而留在捷克繼續搭景的工作人員發現，一股詭異的氣氛慢慢的籠罩著他們，一連串的怪事也莫名其妙地發生。穆瑙帶回了另一名攝影師，劇組飛快地趕著已被耽誤的進度，隨著吸血鬼躲在船艙的棺材裡飄洋過海的劇情，穆瑙與工作人員，以及神秘的麥斯許瑞克搭乘飛機來到了一個海上小島，和女主角葛莉塔會合，準備拍攝最後的一場戲。而那場戲，也正是穆瑙所允諾給予麥斯許瑞克，演出這部影片的酬勞-------不朽的生命，與美麗女主角葛莉塔的脖子．．．。在這部偉大的經典中，從這一刻起，就將從幻影走向真實……
千禧曼波,劇情,2001-11-17,年輕生命的消耗像是一首風馳電掣的搖滾樂，以熱情洋溢的節奏，瘋狂起始，然後又在某個渾然忘我的時刻，曳然而止。電音感官的放縱、暗夜生涯的浪蕩、過渡愛情的沈淪、江湖義氣的不歸路，都是多少熱血靈魂曾經走過的無悔無憾。一個年輕女孩活在她自己的異世界裡，寫著虛幻顛簸的年輕故事。迷幻的時序，跳躍的空間，所有事件都在若有似無的混沌裡進行。女孩名叫Vicky(舒淇飾），帶著五十萬存款，跟小她兩歲的雙魚座男人小豪(段鈞豪飾）拍拖。小豪是無業遊民，以極度自私的方式愛著Vicky。他精準計算著她下班回家的時間，檢查她的各種帳單與手機通話記錄，並且嗅窺她身上的氣味，然後在發現不尋常的蛛絲馬跡之後，歇斯底里地發怒，讓猜疑迷惑了年輕衝動的心智。兩人這樣互相折磨著，不平衡的戀情難以長久。Vicky為了養小豪而在酒店當公關，她有一群玩伴，帶她在PUB裡認識了捷哥。捷哥年長而成熟，他們在一起像是大哥驕縱著小妹。Vicky開始覺得她需要到另一個世界，於是在一個蒼白的日子裡，她想要離開，離開小豪，離開這個島嶼的不安，她想要逃得遠遠的..
救世主,動作,2001-12-07,未來除了我們生活的世界之外，同時還有許多平行的小宇宙。而在每個平行的小宇宙中，又都存在著每一個人的“分身”。每當一個分身死亡，其體內的能量就會平均分散到其餘的分身上。如果所有平行小宇宙中的分身都死亡，所僅剩的最後一個人，他體內的能量就可以讓他呼風喚雨、統治整個宇宙。蓋勃瑞(李連杰飾）是一個身手矯捷、極富正義感的洛杉磯刑警。在不知道有平行宇宙存在的情況下，他遇見一個跟自己長得一模一樣的人來追殺他，蓋勃瑞還以為是幻覺。當他知道自己是阻止邪惡的蓋勃瑞稱霸世界的唯一希望，他必須挺身而出，對抗自己的分身。不過整件事情並不是他所想的那麼簡單，因為除了要對抗自己邪惡的分身之外，還有更多的危機正等著他…
鬼計神偷,劇情,2001-10-06,尼克魏斯準備洗手不幹，他打算和他女友黛安退隱江湖，安安份份地在蒙特婁經營一家爵士餐廳，但是他的掮客、好友及生意夥伴麥斯卻另有打算。麥斯計畫幹下最後一票，也是最大的一票，他用盡方法說服尼克接下這個不可能的任務，也違反了他身為神偷以來一直奉行的兩個原則，那就是絕不和人搭檔，絕不在居住的城市犯案。佩但是這次麥斯卻幫他找到一個年輕氣盛卻聰明絕頂的新秀神偷傑克泰勒當搭檔，年少輕狂的傑克正在磨拳擦掌，準備幹下這天大的一票，也就是被深鎖在防守嚴密的蒙特婁海關大廈裡的一個無價之寶.…
少林足球,動作,2001-08-24,二十年前，有「黃金右腳」之稱的足球員明峰，被同袍強雄設計所害，在一場重要的比賽中，他罰射一個20碼球時竟然失敗，這不單讓他名譽掃地，更被打斷右腳，這樣的挫折讓明鋒信心盡失，最後淪落街頭，而強雄則自此一帆風順成為足球界鉅子。二十年後，明鋒(吳孟達飾）偶然認識以拾荒為生、性格樂天，對武術極度執迷的星(周星馳飾），意外發現他的驚人腳力，憑她專業的眼光認定星有足球天份，鋒因此遊說星打足球，參加全國超級班足球大賽，為了增加球隊實力，推廣少林武學，星遊說一班當年再少林寺習武的師兄弟「鐵頭功」(黃一飛飾）、「鐵布衫」(田啟文飾）、「旋風地堂腿」(莫美林飾）、「鬼影擒拿手」(陳國坤飾）、「輕功水上飄」(林子聰飾）等人一起參加。可惜大家都為了謀生荒廢了武學而且鬥志全無，但為了一百萬的獎金，大家也只有奮力一搏。第一場比賽面對以暴戾聞名的霸王隊，每個人都被打得半死，在千鈞一髮之際，星喚起個人的潛在鬥志，一瞬間各師兄弟重拾了本身的絕技，更將之融入了足球內，發揮了驚人的威力，最後更令霸王隊歸順，成了一隊完整的「少林隊」。另外饅頭皇后太極手(趙薇飾）以太極功夫製造饅頭，令星十分佩服，雖然梅常常悉心照料星也對他十分有好感，無奈因樣貌奇醜而自卑，也不敢向他表達愛意。少林足球隊在全國大賽中過關斬將，順利打進決賽，最後所面對最強的對手竟是明鋒的宿敵強雄(謝賢飾）所帶領的「魔鬼隊」，「魔鬼隊」以高科技方式訓練球員，並服用違禁藥品，成為名符其實殺人不眨眼的魔鬼，「少林隊」一個一個隊員都被當成標靶，面臨慘敗的局面。這時一個讓他們意想不到的人卻突然出現，他們是否可以轉敗為勝，展現生機呢？……
史瑞克,冒險,2001-06-30,很久很久以前，有一個憤世嫉俗、不茍言笑的綠色巨人史瑞克，一個人孤零零地住在遙遠的沼澤裡，有一天一大堆惹人厭的童話故事人物突然打亂他平靜的生活，他吃的食物有瞎了眼的小老鼠，床上躺了一隻大野狼，家裡來了三隻房子被吹倒的小豬仔，這些童話人物通通都是被邪惡的法克大人給趕來。他為了拯救這些童話人物，還有他自己的家，於是就和法克大人談了一個條件，他必須把美麗的費歐娜公主救出來，嫁給法克大人，他在路上找到一個講起話來喋喋不休、口若懸河的驢子，他什麼都肯為史瑞克做，就是不肯乖乖閉嘴。但是當他發現美麗的公主竟然深藏了一個可怕的秘密，事情就變得更複雜了....【史瑞克】乍看之下是一個典型的童話故事，故事中有一個英雄、一位美麗的公主和一個大壞蛋，但是與眾不同的是，故事中的英雄是一個脾氣暴燥、奇醜無比的綠色怪人，公主也沒有那麼天真無邪，而且大壞蛋的毛病更多。夢工廠的三巨頭之一傑佛瑞凱森柏格說：「【史瑞克】是傳統童話故事的搞笑版本，它嘲諷了所有的經典童話，徹底顛覆了一般人對童話故事的刻版印象。本片獲得2002年第74屆奧斯卡金像獎最佳動畫電影獎。
枕邊陷阱,劇情,2001-09-14,十九世紀末，一名古巴哈瓦那咖啡商路易(安東尼奧班德拉斯飾演）事業有成，什麼都不缺的他唯獨缺一名女主人，個性老實的路易對女人沒有什麼特別要求，只要對方能持家生子即可，在素未謀面的情況下，他遠從美國娶了一名郵購新娘茱莉亞(安吉莉娜裘莉飾演），他對這個女人一無所知，只能透過一張發黃的照片知道對方是一名相貌平庸的女人。到了迎娶之日，路易去碼頭迎接渡海而來的茱莉亞，沒想到他所接到的新娘卻是讓他驚為天人的美豔女子，路易喜出望外卻又不知所措，反而不敢冒然親近美豔的妻子，但是與茱莉亞日漸相處後，他漸漸迷戀上她，而這種火山孝子般的過份迷戀甚至引起眾親友的竊竊私語。就在路易沈醉在茱莉亞帶給他的消魂幸福時，茱莉亞的姐姐與一名美國警探卻遠從美國來打聽茱莉亞的消息，他們懷疑真正的茱莉亞已遇害身亡。深愛妻子的路易寧願欺騙自己，也不願意相信他的婚姻是一場騙局，然而，當他鼓起勇氣找妻子對質時，卻發現人去樓空，這位假茱莉亞將他的現金洗劫一空後不知去向。枕邊人的欺騙與背叛，讓路易由心碎轉向憤怒，他變賣所有家產，並且在美國警探的陪同下繼續追查茱莉亞的下落。路易不惜一切代價想要找回妻子，他發誓要殺了這個女人付出代價，但是他有本事對抗茱莉亞嗎？還是陷入另一個更致命的陷阱？因為，跟茱莉亞發生糾葛的男人，似乎不是僅限於他。愛慾、暴力、懸疑、驚悚等危機開始襲擊路易寧靜的人生，他與茱莉亞之間的愛恨交織、爾虞我詐，不到最後關頭，不知鹿死誰手．．．
